Email,Label
Buy cheap followers and likes for your Instagram and TikTok,Spam
Buy cheap followers and likes for your Instagram and TikTok,Spam
You are the 1000th visitor! Click here to claim your MacBook Pro.,Spam
You are the 1000th visitor! Click here to claim your MacBook Pro.,Spam
Invitation: Product Launch Event next Friday at the main hall,Ham
Increase your stamina and performance tonight! Special discount.,Spam
Receipt for your recent Uber ride on this weekend,Ham
Monthly sales strategy attached for your review and approval,Ham
"Let's reschedule our call to 3 PM Thursday, I have a conflict right now",Ham
Double your Bitcoin in 24 hours guaranteed or your money back,Spam
You have been selected for a free MacBook Pro. Claim now!,Spam
Meeting agenda for Wednesday's team sync regarding marketing report,Ham
Buy cheap followers and likes for your Instagram and TikTok,Spam
Update on the design feedback schedule for Q3,Ham
Are you free Thursday for a quick coffee and catch up?,Ham
Notes from the Q3 budget meeting have been uploaded,Ham
Lose 10kg in just one week with this magic pill! Doctor approved!,Spam
LIMITED TIME OFFER: 90% off all MacBook Pros! Buy now!,Spam
Lose 10kg in just one week with this magic pill! Doctor approved!,Spam
Don't forget to submit your weekly timesheet by Friday 5 PM,Ham
"John called, they want you to call back as soon as possible",Ham
"Hey Alice, are we still on for lunch this weekend at the usual spot?",Ham
Your flight reservation to New York for Thursday is confirmed.,Ham
"Claim your $1,000,000 Apple Gift Card now, click the link below",Spam
Security Alert: Please verify your Amazon credentials immediately,Spam
LIMITED TIME OFFER: 90% off all iPhone 15 Pros! Buy now!,Spam
Invitation: Product Launch Event next this weekend at the main hall,Ham
Notes from the sales strategy meeting have been uploaded,Ham
Buy cheap followers and likes for your Instagram and TikTok,Spam
"Claim your 50 Bitcoin Netflix Gift Card now, click the link below",Spam
"Alice called, they want you to call back as soon as possible",Ham
Increase your stamina and performance tonight! Special discount.,Spam
Update on the Q3 budget schedule for Q3,Ham
Double your Bitcoin in 24 hours guaranteed or your money back,Spam
Can we push the deadline for the Q3 budget to next Monday?,Ham
Earn $1000 a day working from home doing absolutely nothing!,Spam
"Let's reschedule our call to 3 PM Tuesday, I have a conflict right now",Ham
Are you free Wednesday for a quick coffee and catch up?,Ham
URGENT: Your Google account has been locked due to suspicious activity!,Spam
You are the 1000th visitor! Click here to claim your iPhone 15 Pro.,Spam
Can you review this pull request when you have some free time Wednesday?,Ham
Are you free Wednesday for a quick coffee and catch up?,Ham
"Claim your inherited $1,000,000 from a distant relative in Africa",Spam
URGENT: Your Bank of America account has been locked due to suspicious activity!,Spam
Monthly marketing report attached for your review and approval,Ham
Your Bank of America invoice #98765 is overdue. Pay 50 Bitcoin immediately to avoid fees.,Spam
Lose 10kg in just one week with this magic pill! Doctor approved!,Spam
Increase your stamina and performance tonight! Special discount.,Spam
"John called, they want you to call back as soon as possible",Ham
Update on the marketing report schedule for Q3,Ham
Receipt for your recent Uber ride on this weekend,Ham
Notes from the marketing report meeting have been uploaded,Ham
Notes from the Q3 budget meeting have been uploaded,Ham
Are you free Wednesday for a quick coffee and catch up?,Ham
Can you review this pull request when you have some free time Friday?,Ham
Your Amazon invoice #98765 is overdue. Pay $500 immediately to avoid fees.,Spam
"Claim your inherited $50,000 from a distant relative in Africa",Spam
Thanks for the great presentation today on Q3 budget! The clients loved it.,Ham
Update on the Q3 budget schedule for Q3,Ham
Increase your stamina and performance tonight! Special discount.,Spam
You are the 1000th visitor! Click here to claim your iPhone 15 Pro.,Spam
Happy Birthday David! Wishing you a great day and a fantastic year ahead,Ham
Increase your stamina and performance tonight! Special discount.,Spam
Update on the sales strategy schedule for Q3,Ham
"I will be out of office until Thursday. For urgent matters, contact John.",Ham
Notes from the sales strategy meeting have been uploaded,Ham
Increase your stamina and performance tonight! Special discount.,Spam
You are the 1000th visitor! Click here to claim your Tesla.,Spam
Thanks for the great presentation today on design feedback! The clients loved it.,Ham
Attached is the invoice for the Q3 budget consulting services.,Ham
Are you free Thursday for a quick coffee and catch up?,Ham
"Final notice: Pay your tax debt of $1,000,000 immediately to avoid jail time",Spam
Can you review this pull request when you have some free time Monday?,Ham
Claim your inherited $500 from a distant relative in Africa,Spam
Happy Birthday Emma! Wishing you a great day and a fantastic year ahead,Ham
You have been selected for a free Tesla. Claim now!,Spam
Update on the Q3 budget schedule for Q3,Ham
"Final notice: Pay your tax debt of $1,000,000 immediately to avoid jail time",Spam
Invitation: Product Launch Event next this weekend at the main hall,Ham
URGENT: Your PayPal account has been locked due to suspicious activity!,Spam
Notes from the marketing report meeting have been uploaded,Ham
Invitation: Product Launch Event next Wednesday at the main hall,Ham
Earn $1000 a day working from home doing absolutely nothing!,Spam
Invitation: Product Launch Event next Friday at the main hall,Ham
URGENT: Your Netflix account has been locked due to suspicious activity!,Spam
Increase your stamina and performance tonight! Special discount.,Spam
"Emma called, they want you to call back as soon as possible",Ham
"Your Google invoice #98765 is overdue. Pay $1,000,000 immediately to avoid fees.",Spam
You have been selected for a free iPhone 15 Pro. Claim now!,Spam
"Claim your inherited $50,000 from a distant relative in Africa",Spam
Invitation: Product Launch Event next Tuesday at the main hall,Ham
Claim your inherited $500 from a distant relative in Africa,Spam
"I will be out of office until Tuesday. For urgent matters, contact Mike.",Ham
"David called, they want you to call back as soon as possible",Ham
Can we push the deadline for the sales strategy to next Wednesday?,Ham
Lose 10kg in just one week with this magic pill! Doctor approved!,Spam
"Claim your $1000 Apple Gift Card now, click the link below",Spam
"Claim your 50 Bitcoin Google Gift Card now, click the link below",Spam
URGENT: Your Google account has been locked due to suspicious activity!,Spam
Attached is the invoice for the Q3 budget consulting services.,Ham
Increase your stamina and performance tonight! Special discount.,Spam
Are you free Monday for a quick coffee and catch up?,Ham
"Your Amazon invoice #98765 is overdue. Pay $50,000 immediately to avoid fees.",Spam
